[0.002] I: Not running on a Raspberry Pi.
== Lennox Winslow PS40
[195.357] I: Pausing for undefinedms
[195.359] I: Pausing for undefinedms
[195.36] I: Pausing for undefinedms
[195.362] I: Pausing for undefinedms
[195.363] I: Pausing for undefinedms
[195.364] I: Pausing for undefinedms
[195.365] I: Pausing for undefinedms
[195.367] I: Pausing for undefinedms
[195.368] I: Pausing for undefinedms
[195.369] I: Pausing for undefinedms
[195.371] I: Pausing for undefinedms
[195.372] I: Pausing for undefinedms
[195.373] I: Pausing for undefinedms
[195.375] I: Pausing for undefinedms
[195.376] I: Pausing for undefinedms
[195.378] I: Pausing for undefinedms
[195.379] I: Pausing for undefinedms
[195.38] I: Pausing for undefinedms
[195.382] I: Pausing for undefinedms
[195.383] I: Pausing for undefinedms
[195.384] I: Pausing for undefinedms
[195.385] I: Pausing for undefinedms
[195.386] I: Pausing for undefinedms
[195.388] I: Pausing for undefinedms
[195.389] I: Pausing for undefinedms
[195.391] I: Pausing for undefinedms
[195.393] I: Pausing for undefinedms
[195.395] I: Pausing for undefinedms
[195.396] I: Pausing for undefinedms
[195.397] I: Pausing for undefinedms
[195.399] I: Pausing for undefinedms
[195.4] I: Pausing for undefinedms
[195.401] I: Pausing for undefinedms
[195.402] I: Pausing for undefinedms
[195.404] I: Pausing for undefinedms
[195.405] I: Pausing for undefinedms
[195.406] I: Pausing for undefinedms
[195.408] I: Pausing for undefinedms
[195.409] I: Pausing for undefinedms
[195.411] I: Pausing for undefinedms
[195.412] I: Pausing for undefinedms
[195.414] I: Pausing for undefinedms
[195.415] I: Pausing for undefinedms
[195.416] I: Pausing for undefinedms
[195.417] I: Pausing for undefinedms
[195.419] I: Pausing for undefinedms
[195.42] I: Pausing for undefinedms
[195.421] I: Pausing for undefinedms
[195.422] I: Pausing for undefinedms
[195.424] I: Pausing for undefinedms
[195.425] I: Pausing for undefinedms
[195.426] I: Pausing for undefinedms
[195.428] I: Pausing for undefinedms
[195.429] I: Pausing for undefinedms
[195.43] I: Pausing for undefinedms
[195.432] I: Pausing for undefinedms
[195.433] I: Pausing for undefinedms
[195.434] I: Pausing for undefinedms
[195.436] I: Pausing for undefinedms
[195.437] I: Pausing for undefinedms
[195.438] I: Pausing for undefinedms
[195.44] I: Pausing for undefinedms
[195.441] I: Pausing for undefinedms
[195.442] I: Pausing for undefinedms
[195.444] I: Pausing for undefinedms
[195.445] I: Pausing for undefinedms
[195.446] I: Pausing for undefinedms
[195.447] I: Pausing for undefinedms
[195.449] I: Pausing for undefinedms
[195.45] I: Pausing for undefinedms
[195.451] I: Pausing for undefinedms
[195.452] I: Pausing for undefinedms
[195.454] I: Pausing for undefinedms
[195.455] I: Pausing for undefinedms
[195.456] I: Pausing for undefinedms
[195.457] I: Pausing for undefinedms
[195.457] I: Pausing for undefinedms
[195.458] I: Pausing for undefinedms
[195.46] I: Pausing for undefinedms
[195.461] I: Pausing for undefinedms
[195.463] I: Pausing for undefinedms
[195.464] I: Pausing for undefinedms
[195.465] I: Pausing for undefinedms
[195.466] I: Pausing for undefinedms
[195.467] I: Pausing for undefinedms
[195.469] I: Pausing for undefinedms
[195.47] I: Pausing for undefinedms
[195.471] I: Pausing for undefinedms
[195.472] I: Pausing for undefinedms
[195.474] I: Pausing for undefinedms
[195.475] I: Pausing for undefinedms
[195.476] I: Pausing for undefinedms
[195.478] I: Pausing for undefinedms
[195.479] I: Pausing for undefinedms
[195.48] I: Pausing for undefinedms
[195.482] I: Pausing for undefinedms
[195.483] I: Pausing for undefinedms
[195.484] I: Pausing for undefinedms
[195.484] I: Pausing for undefinedms
[195.485] I: Pausing for undefinedms
[195.487] I: Pausing for undefinedms
[195.488] I: Pausing for undefinedms
[195.489] I: Pausing for undefinedms
[195.489] I: Pausing for undefinedms
[195.49] I: Pausing for undefinedms
[195.492] I: Pausing for undefinedms
[195.493] I: Pausing for undefinedms
[195.495] I: Pausing for undefinedms
[195.496] I: Pausing for undefinedms
[195.497] I: Pausing for undefinedms
[195.499] I: Pausing for undefinedms
[195.5] I: Pausing for undefinedms
[195.501] I: Pausing for undefinedms
[195.502] I: Pausing for undefinedms
[195.503] I: Pausing for undefinedms
[195.505] I: Pausing for undefinedms
[195.506] I: Pausing for undefinedms
[195.507] I: Pausing for undefinedms
[195.508] I: Pausing for undefinedms
[195.51] I: Pausing for undefinedms
[195.511] I: Pausing for undefinedms
[195.512] I: Pausing for undefinedms
[195.514] I: Pausing for undefinedms
[195.515] I: Pausing for undefinedms
[195.516] I: Pausing for undefinedms
[195.517] I: Pausing for undefinedms
[195.518] I: Pausing for undefinedms
[195.52] I: Pausing for undefinedms
[195.521] I: Pausing for undefinedms
[195.522] I: Pausing for undefinedms
[195.523] I: Pausing for undefinedms
[195.525] I: Pausing for undefinedms
[195.526] I: Pausing for undefinedms
[195.528] I: Pausing for undefinedms
[195.529] I: Pausing for undefinedms
[195.53] I: Pausing for undefinedms
[195.531] I: Pausing for undefinedms
[195.533] I: Pausing for undefinedms
[195.534] I: Pausing for undefinedms
[195.535] I: Pausing for undefinedms
[195.536] I: Pausing for undefinedms
[195.538] I: Pausing for undefinedms
[195.539] I: Pausing for undefinedms
[195.54] I: Pausing for undefinedms
[195.541] I: Pausing for undefinedms
[195.543] I: Pausing for undefinedms
[195.544] I: Pausing for undefinedms
[195.545] I: Pausing for undefinedms
[195.547] I: Pausing for undefinedms
[195.548] I: Pausing for undefinedms
[195.549] I: Pausing for undefinedms
[195.55] I: Pausing for undefinedms
[195.552] I: Pausing for undefinedms
[195.553] I: Pausing for undefinedms
[195.554] I: Pausing for undefinedms
[195.556] I: Pausing for undefinedms
[195.557] I: Pausing for undefinedms
[195.559] I: Pausing for undefinedms
[195.56] I: Pausing for undefinedms
[195.56] I: Pausing for undefinedms
[195.562] I: Pausing for undefinedms
[195.563] I: Pausing for undefinedms
[195.564] I: Pausing for undefinedms
[195.565] I: Pausing for undefinedms
[195.566] I: Pausing for undefinedms
[195.568] I: Pausing for undefinedms
[195.569] I: Pausing for undefinedms
[195.57] I: Pausing for undefinedms
[195.571] I: Pausing for undefinedms
[195.573] I: Pausing for undefinedms
[195.574] I: Pausing for undefinedms
[195.575] I: Pausing for undefinedms
[195.577] I: Pausing for undefinedms
[195.578] I: Pausing for undefinedms
[195.58] I: Pausing for undefinedms
[195.581] I: Pausing for undefinedms
[195.582] I: Pausing for undefinedms
[195.583] I: Pausing for undefinedms
[195.585] I: Pausing for undefinedms
[195.586] I: Pausing for undefinedms
[195.587] I: Pausing for undefinedms
[195.588] I: Pausing for undefinedms
[195.589] I: Pausing for undefinedms
[195.591] I: Pausing for undefinedms
[195.592] I: Pausing for undefinedms
[195.594] I: Pausing for undefinedms
[195.595] I: Pausing for undefinedms
[195.596] I: Pausing for undefinedms
[195.598] I: Pausing for undefinedms
[195.599] I: Pausing for undefinedms
[195.6] I: Pausing for undefinedms
[195.601] I: Pausing for undefinedms
[195.603] I: Pausing for undefinedms
[195.604] I: Pausing for undefinedms
[195.605] I: Pausing for undefinedms
[195.606] I: Pausing for undefinedms
[195.608] I: Pausing for undefinedms
[195.609] I: Pausing for undefinedms
[195.61] I: Pausing for undefinedms
[195.612] I: Pausing for undefinedms
[195.613] I: Pausing for undefinedms
[195.614] I: Pausing for undefinedms
[195.616] I: Pausing for undefinedms
[195.617] I: Pausing for undefinedms
[195.618] I: Pausing for undefinedms
[195.619] I: Pausing for undefinedms
[195.621] I: Pausing for undefinedms
[195.622] I: Pausing for undefinedms
[195.623] I: Pausing for undefinedms
[195.624] I: Pausing for undefinedms
[195.626] I: Pausing for undefinedms
[195.627] I: Pausing for undefinedms
[195.629] I: Pausing for undefinedms
[195.63] I: Pausing for undefinedms
[195.631] I: Pausing for undefinedms
[195.632] I: Pausing for undefinedms
[195.633] I: Pausing for undefinedms
[195.635] I: Pausing for undefinedms
[195.636] I: Pausing for undefinedms
[195.637] I: Pausing for undefinedms
[195.638] I: Pausing for undefinedms
[195.64] I: Pausing for undefinedms
[195.641] I: Pausing for undefinedms
[195.642] I: Pausing for undefinedms
[195.644] I: Pausing for undefinedms
[195.645] I: Pausing for undefinedms
[195.645] I: Pausing for undefinedms
[195.646] I: Pausing for undefinedms
[195.648] I: Pausing for undefinedms
[195.649] I: Pausing for undefinedms
[195.65] I: Pausing for undefinedms
[195.653] I: Pausing for undefinedms
[195.654] I: Pausing for undefinedms
[195.655] I: Pausing for undefinedms
[195.656] I: Pausing for undefinedms
[195.658] I: Pausing for undefinedms
[195.659] I: Pausing for undefinedms
[195.661] I: Pausing for undefinedms
[195.662] I: Pausing for undefinedms
[195.663] I: Pausing for undefinedms
[195.665] I: Pausing for undefinedms
[195.666] I: Pausing for undefinedms
[195.667] I: Pausing for undefinedms
[195.668] I: Pausing for undefinedms
[195.67] I: Pausing for undefinedms
[195.671] I: Pausing for undefinedms
[195.672] I: Pausing for undefinedms
[195.673] I: Pausing for undefinedms
[195.675] I: Pausing for undefinedms
[195.676] I: Pausing for undefinedms
[195.677] I: Pausing for undefinedms
[195.679] I: Pausing for undefinedms
[195.68] I: Pausing for undefinedms
[195.681] I: Pausing for undefinedms
[195.681] I: Pausing for undefinedms
[195.682] I: Pausing for undefinedms
[195.684] I: Pausing for undefinedms
[195.685] I: Pausing for undefinedms
[195.686] I: Pausing for undefinedms
[195.687] I: Pausing for undefinedms
[195.689] I: Pausing for undefinedms
[195.69] I: Pausing for undefinedms
[195.691] I: Pausing for undefinedms
[195.692] I: Pausing for undefinedms
[195.694] I: Pausing for undefinedms
[195.695] I: Pausing for undefinedms
[195.696] I: Pausing for undefinedms
[195.697] I: Pausing for undefinedms
[195.698] I: Pausing for undefinedms
[195.7] I: Pausing for undefinedms
[195.701] I: Pausing for undefinedms
[195.702] I: Pausing for undefinedms
[195.702] I: Pausing for undefinedms
[195.703] I: Pausing for undefinedms
[195.705] I: Pausing for undefinedms
[195.706] I: Pausing for undefinedms
[195.707] I: Pausing for undefinedms
[195.708] I: Pausing for undefinedms
[195.71] I: Pausing for undefinedms
[195.711] I: Pausing for undefinedms
[195.713] I: Pausing for undefinedms
[195.714] I: Pausing for undefinedms
[195.715] I: Pausing for undefinedms
[195.716] I: Pausing for undefinedms
[195.717] I: Pausing for undefinedms
[195.719] I: Pausing for undefinedms
[195.72] I: Pausing for undefinedms
[195.721] I: Pausing for undefinedms
[195.721] I: Pausing for undefinedms
[195.722] I: Pausing for undefinedms
[195.724] I: Pausing for undefinedms
[195.725] I: Pausing for undefinedms
[195.726] I: Pausing for undefinedms
[195.728] I: Pausing for undefinedms
[195.729] I: Pausing for undefinedms
[195.73] I: Pausing for undefinedms
[195.732] I: Pausing for undefinedms
[195.733] I: Pausing for undefinedms
[195.734] I: Pausing for undefinedms
[195.735] I: Pausing for undefinedms
[195.737] I: Pausing for undefinedms
[195.738] I: Pausing for undefinedms
[195.739] I: Pausing for undefinedms
[195.74] I: Pausing for undefinedms
[195.742] I: Pausing for undefinedms
[195.743] I: Pausing for undefinedms
[195.743] I: Pausing for undefinedms
[195.745] I: Pausing for undefinedms
[195.746] I: Pausing for undefinedms
[195.747] I: Pausing for undefinedms
[195.748] I: Pausing for undefinedms
[195.75] I: Pausing for undefinedms
[195.751] I: Pausing for undefinedms
[195.752] I: Pausing for undefinedms
[195.753] I: Pausing for undefinedms
[195.755] I: Pausing for undefinedms
[195.756] I: Pausing for undefinedms
[195.757] I: Pausing for undefinedms
[195.758] I: Pausing for undefinedms
[195.759] I: Pausing for undefinedms
[195.761] I: Pausing for undefinedms
[195.762] I: Pausing for undefinedms
[195.763] I: Pausing for undefinedms
[195.765] I: Pausing for undefinedms
[195.766] I: Pausing for undefinedms
[195.767] I: Pausing for undefinedms
[195.768] I: Pausing for undefinedms
[195.77] I: Pausing for undefinedms
[195.771] I: Pausing for undefinedms
[195.772] I: Pausing for undefinedms
[195.773] I: Pausing for undefinedms
[195.774] I: Pausing for undefinedms
[195.776] I: Pausing for undefinedms
[195.777] I: Pausing for undefinedms
[195.779] I: Pausing for undefinedms
[195.78] I: Pausing for undefinedms
[195.781] I: Pausing for undefinedms
[195.782] I: Pausing for undefinedms
[195.784] I: Pausing for undefinedms
[195.785] I: Pausing for undefinedms
[195.786] I: Pausing for undefinedms
[195.787] I: Pausing for undefinedms
[195.789] I: Pausing for undefinedms
[195.79] I: Pausing for undefinedms
[195.791] I: Pausing for undefinedms
[195.792] I: Pausing for undefinedms
[195.794] I: Pausing for undefinedms
[195.795] I: Pausing for undefinedms
[195.797] I: Pausing for undefinedms
[195.798] I: Pausing for undefinedms
[195.799] I: Pausing for undefinedms
[195.8] I: Pausing for undefinedms
[195.801] I: Pausing for undefinedms
[195.803] I: Pausing for undefinedms
[195.804] I: Pausing for undefinedms
[195.805] I: Pausing for undefinedms
[195.805] I: Pausing for undefinedms
[195.806] I: Pausing for undefinedms
[195.808] I: Pausing for undefinedms
[195.809] I: Pausing for undefinedms
[195.81] I: Pausing for undefinedms
[195.812] I: Pausing for undefinedms
[195.813] I: Pausing for undefinedms
[195.814] I: Pausing for undefinedms
[195.815] I: Pausing for undefinedms
[195.817] I: Pausing for undefinedms
[195.818] I: Pausing for undefinedms
[195.819] I: Pausing for undefinedms
[195.82] I: Pausing for undefinedms
[195.822] I: Pausing for undefinedms
[195.823] I: Pausing for undefinedms
[195.824] I: Pausing for undefinedms
[195.825] I: Pausing for undefinedms
[195.827] I: Pausing for undefinedms
[195.828] I: Pausing for undefinedms
[195.83] I: Pausing for undefinedms
[195.831] I: Pausing for undefinedms
[195.832] I: Pausing for undefinedms
[195.833] I: Pausing for undefinedms
[195.834] I: Pausing for undefinedms
[195.836] I: Pausing for undefinedms
[195.837] I: Pausing for undefinedms
[195.838] I: Pausing for undefinedms
[195.84] I: Pausing for undefinedms
[195.841] I: Pausing for undefinedms
[195.842] I: Pausing for undefinedms
[195.844] I: Pausing for undefinedms
[195.845] I: Pausing for undefinedms
[195.847] I: Pausing for undefinedms
[195.848] I: Pausing for undefinedms
[195.849] I: Pausing for undefinedms
[195.85] I: Pausing for undefinedms
[195.851] I: Pausing for undefinedms
[195.853] I: Pausing for undefinedms
[195.854] I: Pausing for undefinedms
[195.855] I: Pausing for undefinedms
[195.856] I: Pausing for undefinedms
[195.858] I: Pausing for undefinedms
[195.859] I: Pausing for undefinedms
[195.861] I: Pausing for undefinedms
[195.862] I: Pausing for undefinedms
[195.863] I: Pausing for undefinedms
[195.865] I: Pausing for undefinedms
[195.866] I: Pausing for undefinedms
[195.867] I: Pausing for undefinedms
[195.868] I: Pausing for undefinedms
[195.87] I: Pausing for undefinedms
[195.871] I: Pausing for undefinedms
[195.872] I: Pausing for undefinedms
[195.873] I: Pausing for undefinedms
[195.874] I: Pausing for undefinedms
[195.876] I: Pausing for undefinedms
[195.878] I: Pausing for undefinedms
[195.879] I: Pausing for undefinedms
[195.88] I: Pausing for undefinedms
[195.881] I: Pausing for undefinedms
[195.883] I: Pausing for undefinedms
[195.884] I: Pausing for undefinedms
[195.885] I: Pausing for undefinedms
[195.886] I: Pausing for undefinedms
[195.888] I: Pausing for undefinedms
[195.889] I: Pausing for undefinedms
[195.89] I: Pausing for undefinedms
[195.891] I: Pausing for undefinedms
[195.893] I: Pausing for undefinedms
[195.894] I: Pausing for undefinedms
[195.896] I: Pausing for undefinedms
[195.897] I: Pausing for undefinedms
[195.898] I: Pausing for undefinedms
[195.899] I: Pausing for undefinedms
[195.901] I: Pausing for undefinedms
[195.902] I: Pausing for undefinedms
[195.903] I: Pausing for undefinedms
[195.904] I: Pausing for undefinedms
[195.906] I: Pausing for undefinedms
[195.907] I: Pausing for undefinedms
[195.908] I: Pausing for undefinedms
[195.909] I: Pausing for undefinedms
[195.911] I: Pausing for undefinedms
[195.912] I: Pausing for undefinedms
[195.913] I: Pausing for undefinedms
[195.914] I: Pausing for undefinedms
[195.916] I: Pausing for undefinedms
[195.917] I: Pausing for undefinedms
[195.918] I: Pausing for undefinedms
[195.919] I: Pausing for undefinedms
[195.921] I: Pausing for undefinedms
[195.922] I: Pausing for undefinedms
[195.923] I: Pausing for undefinedms
[195.923] I: Pausing for undefinedms
[195.924] I: Pausing for undefinedms
[195.926] I: Pausing for undefinedms
[195.927] I: Pausing for undefinedms
[195.928] I: Pausing for undefinedms
[195.93] I: Pausing for undefinedms
[195.931] I: Pausing for undefinedms
[195.932] I: Pausing for undefinedms
[195.934] I: Pausing for undefinedms
[195.935] I: Pausing for undefinedms
[195.936] I: Pausing for undefinedms
[195.937] I: Pausing for undefinedms
[195.938] I: Pausing for undefinedms
[195.94] I: Pausing for undefinedms
[195.941] I: Pausing for undefinedms
[195.942] I: Pausing for undefinedms
[195.944] I: Pausing for undefinedms
[195.945] I: Pausing for undefinedms
[195.946] I: Pausing for undefinedms
[195.948] I: Pausing for undefinedms
[195.949] I: Pausing for undefinedms
[195.95] I: Pausing for undefinedms
[195.951] I: Pausing for undefinedms
[195.952] I: Pausing for undefinedms
[195.954] I: Pausing for undefinedms
[195.955] I: Pausing for undefinedms
[195.956] I: Pausing for undefinedms
[195.957] I: Pausing for undefinedms
[195.959] I: Pausing for undefinedms
[195.96] I: Pausing for undefinedms
[195.961] I: Pausing for undefinedms
[195.961] I: Pausing for undefinedms
[195.962] I: Pausing for undefinedms
[195.964] I: Pausing for undefinedms
[195.965] I: Pausing for undefinedms
[195.966] I: Pausing for undefinedms
[195.967] I: Pausing for undefinedms
[195.969] I: Pausing for undefinedms
[195.97] I: Pausing for undefinedms
[195.971] I: Pausing for undefinedms
[195.972] I: Pausing for undefinedms
[195.973] I: Pausing for undefinedms
[195.975] I: Pausing for undefinedms
[195.976] I: Pausing for undefinedms
[195.977] I: Pausing for undefinedms
[195.979] I: Pausing for undefinedms
[195.98] I: Pausing for undefinedms
[195.981] I: Pausing for undefinedms
[195.983] I: Pausing for undefinedms
[195.984] I: Pausing for undefinedms
[195.985] I: Pausing for undefinedms
[195.986] I: Pausing for undefinedms
[195.988] I: Pausing for undefinedms
[195.989] I: Pausing for undefinedms
[195.99] I: Pausing for undefinedms
[195.991] I: Pausing for undefinedms
[195.992] I: Pausing for undefinedms
[195.994] I: Pausing for undefinedms
[195.995] I: Pausing for undefinedms
[195.995] I: Pausing for undefinedms
[195.996] I: Pausing for undefinedms
[195.998] I: Pausing for undefinedms
[195.999] I: Pausing for undefinedms
[196] I: Pausing for undefinedms
[196.001] I: Pausing for undefinedms
[196.003] I: Pausing for undefinedms
[196.004] I: Pausing for undefinedms
[196.005] I: Pausing for undefinedms
[196.006] I: Pausing for undefinedms
[196.008] I: Pausing for undefinedms
[196.009] I: Pausing for undefinedms
[196.01] I: Pausing for undefinedms
[196.012] I: Pausing for undefinedms
[196.013] I: Pausing for undefinedms
[196.015] I: Pausing for undefinedms
[196.016] I: Pausing for undefinedms
[196.017] I: Pausing for undefinedms
[196.018] I: Pausing for undefinedms
[196.019] I: Pausing for undefinedms
[196.021] I: Pausing for undefinedms
[196.022] I: Pausing for undefinedms
[196.023] I: Pausing for undefinedms
[196.024] I: Pausing for undefinedms
[196.024] I: Pausing for undefinedms
[196.025] I: Pausing for undefinedms
[196.027] I: Pausing for undefinedms
[196.028] I: Pausing for undefinedms
[196.029] I: Pausing for undefinedms
[196.03] I: Pausing for undefinedms
[196.032] I: Pausing for undefinedms
[196.033] I: Pausing for undefinedms
[196.034] I: Pausing for undefinedms
[196.035] I: Pausing for undefinedms
[196.037] I: Pausing for undefinedms
[196.038] I: Pausing for undefinedms
[196.039] I: Pausing for undefinedms
[196.04] I: Pausing for undefinedms
[196.041] I: Pausing for undefinedms
[196.043] I: Pausing for undefinedms
[196.044] I: Pausing for undefinedms
[196.045] I: Pausing for undefinedms
[196.047] I: Pausing for undefinedms
[196.048] I: Pausing for undefinedms
[196.049] I: Pausing for undefinedms
[196.05] I: Pausing for undefinedms
[196.052] I: Pausing for undefinedms
[196.053] I: Pausing for undefinedms
[196.054] I: Pausing for undefinedms
[196.055] I: Pausing for undefinedms
[196.056] I: Pausing for undefinedms
[196.058] I: Pausing for undefinedms
[196.059] I: Pausing for undefinedms
[196.06] I: Pausing for undefinedms
[196.062] I: Pausing for undefinedms
[196.063] I: Pausing for undefinedms
[196.065] I: Pausing for undefinedms
[196.066] I: Pausing for undefinedms
[196.067] I: Pausing for undefinedms
[196.068] I: Pausing for undefinedms
[196.07] I: Pausing for undefinedms
[196.071] I: Pausing for undefinedms
[196.072] I: Pausing for undefinedms
[196.073] I: Pausing for undefinedms
[196.073] I: Pausing for undefinedms
[196.074] I: Pausing for undefinedms
[196.076] I: Pausing for undefinedms
[196.077] I: Pausing for undefinedms
[196.078] I: Pausing for undefinedms
[196.08] I: Pausing for undefinedms
[196.081] I: Pausing for undefinedms
[196.082] I: Pausing for undefinedms
[196.083] I: Pausing for undefinedms
[196.085] I: Pausing for undefinedms
[196.086] I: Pausing for undefinedms
[196.087] I: Pausing for undefinedms
[196.088] I: Pausing for undefinedms
[196.09] I: Pausing for undefinedms
[196.091] I: Pausing for undefinedms
[196.092] I: Pausing for undefinedms
